Participant_ID,Age,Gender,Sport_Type,Experience_Years,Training_Method,Adaptation_Type,Session_Count,Session_Duration_Min,Training_Period_Weeks,Intervention_Intensity_Level,Intrinsic_Motivation,Extrinsic_Motivation,Anxiety_Level,Stress_Coping_Ability,Resilience_Index,Self_Confidence_Score,Performance_Score,Training_Adherence_Rate,Post_Session_Satisfaction_Score,Motivation_Gain,Confidence_Gain,Stress_Reduction_Percentage,Adaptation_Effectiveness_Score
43097,17.25035274,Female,Football,10.65221379,Self-talk,Feedback-based,17.37884027,60.15482909,8.843161363,Medium,100,47.83753751,49.02259399,69.79670242,47.618668220000004,91.71307523,94.36579435,64.70346744,83.78051412,11.68816334,15.08867446,8.857744609,10.57494425
14011,19.48231836,Male,Swimming,8.616061711,Mindfulness,AI-guided,6.309428727,54.82255642,7.534323041,Medium,86.34541073,72.31102769,37.51140421,78.34423123,73.11842349,81.34615475,70.72813428,76.35141426,83.51967385,11.43768387,14.91534384,11.916926460000001,7.537107342
41523,25.63908825,Male,Athletics,10.45586018,Visualization,Coach-adjusted,12.65540758,71.12536734,6.569619109,Low,83.19344669,72.36984173,94.81186966,69.92268251,73.16745682,66.10780785,95.26503295,84.08381576,100,0,12.89419198,20.31084505,11.27882824
44236,29.54917416,Male,Football,12.0286539,Mindfulness,Feedback-based,7.456612671,67.15583658,12.14310839,Medium,72.68108149,61.89192148,60.70717921,79.24157868,88.06208926,71.34889076,48.33261702,67.71644349,66.62762659,5.995736701,5.793801983,19.09410159,8.93344422
11100,36.36534325,Male,Tennis,7.973322207,Goal-setting,Coach-adjusted,8.555096094,34.87418688,10.03491055,High,64.31100327,64.78872183,71.12853314,64.56710856,83.20761988,61.77754585,64.32058939,78.33631299,56.09200711,4.532913579,19.44981526,4.692496007,20.21894062
48768,28.45537589,Male,Athletics,6.261255975,Mindfulness,Feedback-based,15.1362807,59.70649489,8.418903491,Medium,45.70725125,68.17747484,55.28516996,57.60413563,64.07739776,83.23896784,74.24976289,81.76369149,100,1.583354734,9.155403875,5.810654162,12.45911969
4888,24.29725232,Female,Basketball,5.653787484,Visualization,AI-guided,14.18204811,77.9420669,8.87097801,Low,89.64827024,79.50158617,37.87464289,90.0739955,59.48611913,75.64652721,80.59326401,66.79693378,81.48734208,7.263739691,2.662055568,14.37763606,4.76928536
23521,32.36760787,Male,Swimming,0.961374755,Goal-setting,AI-guided,11.68918244,68.74380158,10.48111281,High,73.84505009,84.34458454,14.70524393,52.44222379,82.00272428,62.61463829,76.52982001,74.14908625,75.11162426,3.18188212,6.461064264,16.91468511,10.12740552
28975,33.19402774,Female,Athletics,7.48408868,Mindfulness,AI-guided,13.65176365,46.42962293,6.189738345,Medium,85.27408442,52.4303689,6.00193013,65.18380162,77.61349005,68.60981805,70.44190868,58.97306734,66.39859823,4.909008888,15.6711096,16.83603618,14.52738039
41443,32.49205905,Female,Basketball,2.848798381,Cognitive Restructuring,Feedback-based,17.81025748,75.61904003,9.137042759,Medium,68.33343158,73.50133127,36.22253805,76.3454571,79.68675828,63.36635289,55.6145482,84.54928673,72.33099554,10.37663001,14.24682515,19.7627671,11.77717162
